№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
2951	Магазин	Россия, Москва, Нижняя Радищевская улица, 5с1	Общество с ограниченной ответственностью "ЛАЙМЕ"	11580 ДПРУ	20100127	20130127	Действует
2952	Кафе	Россия, Москва, Киевская улица, 7	Общество с ограниченной ответственностью "ЛИТМИ"	11293 ДПРУ	20091229	20141229	Действует
2953	Кафе	Россия, Москва, улица Александра Солженицына, 1/5	Общество с ограниченной ответственностью "САНФЛАУЭРС"	890 ДТУ	20110923	20140923	Действует
2954	Магазин	Россия, Москва, улица Лазо, 14к2	Закрытое акционерное общество "ДИСКОНТцентр"	1312 ДПРУ	20080801	20140707	Действует
2955	Кафе	Россия, Москва, улица Александра Солженицына, 3	Общество с ограниченной ответственностью "Армелас"	10935 ДПРУ	20091113	20141113	Действует
2956	Магазин	Россия, Москва, Минская улица, 17	Общество с ограниченной ответственностью "АРМА-ФРАНС"	585 ДТУ	20110706	20140706	Действует
2957	Ресторан "ЭЛЬДОРАДО"	Россия, Москва, улица Большая Полянка, 1/3	Общество с ограниченной ответственностью "ЭЛЬДОРАДО ТРЕЙДИНГ ЛИМИТЕД"	13458 ДПРУ	20101229	20131229	Аннулирована
2958	Ресторан	Россия, Москва, улица Большая Полянка, 1/3	Общество с ограниченной ответственностью "ЭЛЬДОРАДО ТРЕЙДИНГ ЛИМИТЕД"	1528 ДТУ	20120314	20170314	Действует
2959	Супермаркет	Россия, Москва, улица Большая Полянка, 1/3	Общество с ограниченной ответственностью "Городской супермаркет"	1078 ДТУ	20111121	20161121	Действует
2960	Бар "Салли О'Брайенс"	Россия, Москва, улица Большая Полянка, 1/3	Общество с ограниченной ответственностью "ЮМЕН"	1340 ДПРУ	20060712	20151012	Действует
2961	Кафе	Россия, Москва, Ярцевская улица, 34к1	Общество с ограниченной ответственностью "КОНТО"	1328 ДТУ	20120120	20150120	Действует
2962	Кафе	Россия, Москва, Берсеневская набережная, 12с1	Общество с ограниченной ответственностью "Перкинс"	12672 ДПРУ	20100818	20130818	Действует
2963	Кафе	Россия, Москва, Нижняя Радищевская улица, 3	Общество с ограниченной ответственностью "Ланч -тайм"	9484 ДПРУ	20090422	20140422	Действует
