№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
35	Ремонт фасадов ЦАО и исторической часть города	Ленинский просп., д.20	28.06.2012	31.12.2012
36	Ремонт фасадов ЦАО и исторической часть города	Ленинский просп., д.18	28.06.2012	31.12.2012
37	Лифты	Севастопольский просп. д.15 к.1	12.04.2012	31.12.2012
38	Лифты	Нагорная ул. д.17 к.3	11.07.2012	31.12.2012
39	Лифты	Нагорная ул. д.17 к.3	12.04.2012	31.12.2012
40	Капитальный ремонт	Серпуховский Вал ул., д.30	15.08.2012	31.12.2012
41	Лифты	Нагорная ул. д.15 к.8	12.04.2012	31.12.2012
42	Лифты	Шухова ул., д.21	12.04.2012	31.12.2012
43	Лифты	Донская ул., д.5	11.07.2012	31.12.2012
44	Ремонт фасадов ЦАО и исторической часть города	Мерзляковский пер., д.14	21.06.2012	31.12.2012
45	Ремонт фасадов ЦАО и исторической часть города	Бронная Большая ул., д.8	27.06.2012	31.12.2012
46	Подъемные платформы и работы по ММГН	Вильнюсская ул. д.8 к.2	20.07.2012	31.12.2012
47	Подъемные платформы и работы по ММГН	Венёвская ул. д.25	20.07.2012	31.12.2012
48	Лифты	Тихвинская ул., д.9	12.04.2012	31.12.2012
49	Ремонт фасадов ЦАО и исторической часть города	Палашёвский Малый пер., д.4	02.07.2012	31.12.2012
50	Лифты	Брюсов пер., д.4	11.07.2012	31.12.2012
51	Ремонт фасадов ЦАО и исторической часть города	Страстной б-р, д.12	28.06.2012	31.12.2012
52	Лифты	Октябрьская ул., д.5	10.04.2012	31.12.2012
53	Лифты	Каховка ул. д.33 к.1	12.04.2012	31.12.2012
54	Лифты	Новгородская ул., д.16	13.04.2012	31.12.2012
55	Лифты	Алтуфьевское ш., д.18в	12.04.2012	31.12.2012
56	Лифты	Алтуфьевское ш., д.78	13.04.2012	31.12.2012
57	Лифты	Алтуфьевское ш., д.26в	10.04.2012	31.12.2012
58	Лифты	Паустовского ул. д.8 к.3	17.07.2012	31.12.2012
59	Лифты	Шенкурский пр., д.2	10.04.2012	31.12.2012
60	Лифты	Шенкурский пр., д.10	10.04.2012	31.12.2012
61	Лифты	Шенкурский пр., д.6	10.04.2012	31.12.2012
62	Лифты	Шенкурский пр., д.14	10.04.2012	31.12.2012
63	Лифты	Алтуфьевское ш., д.58б	13.04.2012	31.12.2012
64	Лифты	Каргопольская ул., д.12	06.12.2011	31.12.2012
65	Лифты	Лескова ул., д.5	30.07.2012	31.12.2012
66	Лифты	Лескова ул., д.9б	30.07.2012	31.12.2012
67	Лифты	Плещеева ул., д.1	30.07.2012	31.12.2012
68	Лифты	Якушкина пр., д.3	10.04.2012	31.12.2012
69	Лифты	Плещеева ул., д.10	06.12.2011	31.12.2012
70	Лифты	Якушкина пр., д.8	10.04.2012	31.12.2012
71	Лифты	Лескова ул., д.17	13.04.2012	31.12.2012
72	Лифты	Лескова ул., д.19	13.04.2012	31.12.2012
73	Лифты	Белозерская ул., д.17	13.04.2012	31.12.2012
74	Лифты	Северный б-р, д.21а	13.04.2012	31.12.2012
75	Подъемные платформы и работы по ММГН	Плещеева ул., д.30	18.07.2012	31.12.2012
76	Лифты	Алтуфьевское ш., д.8а	13.04.2012	31.12.2012
77	Лифты	Ясный пр., д.26, к.3	10.04.2012	31.12.2012
78	Подъемные платформы и работы по ММГН	Заповедная ул., д.2	21.03.2012	31.12.2012
79	Лифты	Дежнёва пр., д.27, к.3	06.12.2011	31.12.2012
80	Капитальный ремонт	Полярная ул., д.13, к.3	15.08.2012	31.12.2012
81	Лифты	Дежнёва пр., д.25, к.2	06.12.2011	31.12.2012
82	Лифты	Заповедная ул., д.14	13.04.2012	31.12.2012
83	Лифты	Молодцова ул., д.1в	30.07.2012	31.12.2012
84	Подъемные платформы и работы по ММГН	Чичерина ул., д.10, к.1	18.07.2012	31.12.2012
85	Лифты	Шокальского пр., д.30б	08.12.2011	31.12.2012
86	Лифты	Студёный пр., д.4, к.4	13.04.2012	31.12.2012
87	Лифты	Сухонская ул., д.15	08.12.2011	31.12.2012
88	Лифты	Яблочкова ул., д.35	10.04.2012	31.12.2012
89	Лифты	Самаркандский б-р, д.6, к.2	12.04.2012	31.12.2012
90	Лифты	Косинская ул., д.26, к.2	19.07.2012	31.12.2012
91	Лифты	Косинская ул., д.26, к.1	19.07.2012	31.12.2012
92	Лифты	Косинская ул., д.24, к.1	19.07.2012	31.12.2012
93	Лифты	Косинская Большая ул., д.16, к.2	08.12.2011	31.12.2012
94	Подъемные платформы и работы по ММГН	Авиаконструктора Миля ул., д.7	20.07.2012	27.07.2012
