№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
9367	Магазин	Россия, Москва, проспект Мира, 119с323	Общество с ограниченной ответственностью "ПЭТРИ"	9853 ДПРУ	2009-06-23 04:00:00.0	2015-06-23 04:00:00.0	Действует
9368	Магазин	Россия, Москва, Туристская улица, 8	Общество с ограниченной ответственностью "Агроаспект"	44700 ПРИУ	2005-12-15 04:00:00.0	2013-12-15 04:00:00.0	Действует
9369	Ресторан	Россия, Москва, Пятницкое шоссе, 29к1	Закрытое акционерное общество "Фирма ЛВ и Ко"	12805 ДПРУ	2010-09-08 04:00:00.0	2015-09-08 04:00:00.0	Действует
9370	Кафе	Россия, Москва, бульвар Яна Райниса, 12	Общество с ограниченной ответственностью "ТРИО"	2896 ДПРУ	2006-11-10 04:00:00.0	2014-11-10 04:00:00.0	Действует
9371	Ресторан	Россия, Москва, Полярная улица, 21	Общество с ограниченной ответственностью "АКБАШ"	8461 ДПРУ	2008-11-19 04:00:00.0	2013-11-19 04:00:00.0	Действует
9372	Магазин	Россия, Москва, улица Маршала Федоренко, 2к1	Общество с ограниченной ответственностью "Милконс"	1586 ДПРУ	2006-07-26 04:00:00.0	2014-07-26 04:00:00.0	Действует
9373	Магазин	Россия, Москва, улица Егора Абакумова, 10а	Общество с ограниченной ответственностью "К-АССОЛЬ"	9713 ДПРУ	2009-06-11 04:00:00.0	2014-06-11 04:00:00.0	Действует
9374	Магазин	Россия, Москва, Дмитровское шоссе, 98	Закрытое акционерное общество "Аматус"	741 ДТУ	2011-08-15 04:00:00.0	2016-08-15 04:00:00.0	Действует
9375	Магазин	Россия, Москва, Ярославское шоссе, 144	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	3841 ДПРУ	2007-01-26 04:00:00.0	2017-01-26 04:00:00.0	Действует
9376	Магазин	Россия, Москва, Ярославское шоссе, 144	Общество с ограниченной ответственностью "ДЖОЙ"	363 ДТУ	2011-05-17 04:00:00.0	2014-05-17 04:00:00.0	Действует
9377	Магазин	Россия, Москва, улица Малыгина, 5к1	Общество с ограниченной ответственностью Универсам "СОВЕТСКИЙ"	2013 ДТУ	2012-07-13 04:00:00.0	2015-07-13 04:00:00.0	На выдаче
9378	Магазин	Россия, Москва, улица Малыгина, 5к1	Общество с ограниченной ответственностью "Торговый Дом Тройка"	9727 ДПРУ	2009-06-02 04:00:00.0	2014-06-02 04:00:00.0	Действует
9379	Кафе	Россия, Москва, улица 800-летия Москвы, 22к3	Общество с ограниченной ответственностью "КЕТИ-ООС"	942 ДТУ	2011-10-13 04:00:00.0	2013-10-19 04:00:00.0	Действует
9380	Кафе	Россия, Москва, Правобережная улица, 2бс1	Общество с ограниченной ответственностью "Лу Лу"	1936 ДТУ	2012-06-28 04:00:00.0	2017-06-28 04:00:00.0	Действует
9381	Магазин "Продукты"	Россия, Москва, Полярная улица, 22к3	Общество с ограниченной ответственностью "ФоринМега"	12676 ДПРУ	2010-08-18 04:00:00.0	2015-08-18 04:00:00.0	Действует
9382	Магазин	Россия, Москва, улица 800-летия Москвы, 1а	Общество с ограниченной ответственностью "Торговый Дом "ЛАБАЗ"	9832 ДПРУ	2009-06-26 04:00:00.0	2014-06-26 04:00:00.0	Действует
9383	Магазин	Россия, Москва, проезд Шокальского, вл25а	Общество с ограниченной ответственностью "Северка"	11583 ДПРУ	2010-01-27 04:00:00.0	2015-01-27 04:00:00.0	Действует
9384	Супермаркет	Россия, Москва, Бибиревская улица, 9	Общество с ограниченной ответственностью "ЗОЛОТОЙ ОРЕХ"	13303 ДПРУ	2010-12-01 04:00:00.0	2015-12-01 04:00:00.0	Действует
9385	Магазин	Россия, Москва, проспект Мира, 175	Общество с ограниченной ответственностью "ТПО Людмила"	12505 ДПРУ	2010-07-06 04:00:00.0	2015-07-06 04:00:00.0	Действует
9386	Магазин	Россия, Москва, проспект Мира, 175	Общество с ограниченной ответственностью "ДЖОЙ"	512 ДТУ	2011-06-16 04:00:00.0	2014-06-16 04:00:00.0	Действует
9387	Кафе	Россия, Москва, проспект Мира, 119с259	Общество с ограниченной ответственностью "Рыбацкая деревня"	9784 ДПРУ	2009-06-08 04:00:00.0	2014-06-08 04:00:00.0	Действует
9388	Кафе	Россия, Москва, проспект Мира, 119с35	Общество с ограниченной ответственностью "Место силы"	1896 ДТУ	2012-06-20 04:00:00.0	2015-06-20 04:00:00.0	Действует
9389	Ресторан	Россия, Москва, улица Докукина, 6	Общество с ограниченной ответственностью Параджанов-клуб "Цвет граната"	6881 ДПРУ	2010-10-20 04:00:00.0	2013-03-19 04:00:00.0	Действует
9390	Магазин	Россия, Москва, Отрадная улица, 7	Общество с ограниченной ответственностью "БИЛЛА"	1020 ДПРУ	2008-10-29 04:00:00.0	2014-06-16 04:00:00.0	Действует
9391	Магазин	Россия, Москва, Олонецкая улица, 25	Общество с ограниченной ответственностью "ЛюксСервис"	2304 ДТУ	2012-09-11 04:00:00.0	2015-09-11 04:00:00.0	Действует
9392	Магазин	Россия, Москва, Левобережный район, Флотская улица, 17с2	Общество с ограниченной ответственностью "Фирма "Витязь"	788 ДПРУ	2006-05-22 04:00:00.0	2014-05-22 04:00:00.0	Действует
9393	Магазин	Россия, Москва, улица Фомичевой, 10	Общество с ограниченной ответственностью "Агроаспект"	2120 ДТУ	2012-08-07 04:00:00.0	2017-08-07 04:00:00.0	Действует
9394	Магазин	Россия, Москва, улица Фомичевой, 8	Общество с ограниченной ответственностью "ПХМ"	5101 ДПРУ	2007-08-02 04:00:00.0	2014-08-02 04:00:00.0	Действует
9395	Магазин	Россия, Москва, улица Хачатуряна, 7	Общество с ограниченной ответственностью "ТРИАДА ГРУППИНВЕСТ"	12051 ДПРУ	2010-04-22 04:00:00.0	2013-04-22 04:00:00.0	Действует
9396	Магазин	Россия, Москва, улица Хачатуряна, 7	Общество с ограниченной ответственностью "Агроаспект"	3507 ДПРУ	2006-12-29 04:00:00.0	2016-12-29 04:00:00.0	Действует
