№ строки	Название объекта ремонта	Адрес	Дата начала работ	Дата окончания работ
1693	Лифты	Петрозаводская ул., д.16	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
1694	Лифты	Флотская ул., д.13, к.5	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
1695	Лифты	Тёплый Стан ул. д.9 к.3	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
1696	Лифты	Флотская ул., д.13, к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
1697	Лифты	Клязьминская ул., д.5, к.1	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
1698	Лифты	Клязьминская ул., д.13	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1699	Лифты	800-летия Москвы ул., д.2, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1700	Лифты	Софьи Ковалевской ул., д.6	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1701	Лифты	Карельский б-р, д.8, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1702	Лифты	Яхромская ул., д.1а	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1703	Подъемные платформы и работы по ММГН	Вагоноремонтная ул., д.5, к.2	2012-07-16 04:00:00.0	2012-12-31 04:00:00.0
1704	Лифты	800-летия Москвы ул., д.3, к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
1705	Лифты	800-летия Москвы ул., д.16	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
1706	Лифты	800-летия Москвы ул., д.20	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
