name	url	id	source	theme
Реестр образовательных учреждений. Общие сведения	http://data.mos.ru/datasets/747	747	Департамент образования города Москвы	Образование
Реестр стационарных объектов наблюдения	http://data.mos.ru/datasets/672	672	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Рейтинг топ-100 должников арендной платы	http://data.mos.ru/datasets/522	522	Департамент городского имущества города Москвы	Земля и имущество
Родильные дома г. Москвы	http://data.mos.ru/datasets/514	514	Департамент здравоохранения города Москвы	Здравоохранение
Розничные рынки	http://data.mos.ru/datasets/654	654	Департамент торговли и услуг города Москвы	Торговля
Роллердромы, скейтпарки	http://data.mos.ru/datasets/908	908	Департамент физической культуры и спорта города Москвы	Отдых
Санаторная школа-интернат	http://data.mos.ru/datasets/559	559	Департамент образования города Москвы	Образование
Санаторно-лесная школа	http://data.mos.ru/datasets/560	560	Департамент образования города Москвы	Образование
Сезонные кафе при стационарных объектах общественного питания	http://data.mos.ru/datasets/587	587	Департамент торговли и услуг города Москвы	Общественное питание
Скалодромы	http://data.mos.ru/datasets/900	900	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Согласованные маршруты пассажирских перевозок коммерческими перевозчиками	http://data.mos.ru/datasets/760	760	Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы	Дороги и транспорт
Социально-педагогическое направление	http://data.mos.ru/datasets/561	561	Департамент образования города Москвы	Образование
Социально-экономическое направление	http://data.mos.ru/datasets/562	562	Департамент образования города Москвы	Образование
Специализированные службы по вопросам похоронного дела	http://data.mos.ru/datasets/749	749	Департамент торговли и услуг города Москвы	Социальная среда
Специализированные центры труда и занятости населения города Москвы	http://data.mos.ru/datasets/609	609	Департамент труда и занятости населения города Москвы	Трудоустройство
Специальная общеобразовательная школа для детей и подростков с девиантным поведением	http://data.mos.ru/datasets/563	563	Департамент образования города Москвы	Образование
Список АЗС города Москвы, реализующих моторное топливо, соответствующее установленным экологическим требованиям	http://data.mos.ru/datasets/753	753	Департамент природопользования и охраны окружающей среды города Москвы	Дороги и транспорт
Список АЗС города Москвы, реализующих моторное топливо,&#160;несоответствующее установленным экологическим требованиям	http://data.mos.ru/datasets/754	754	Департамент природопользования и охраны окружающей среды города Москвы	Дороги и транспорт
Список аккредитованных социальных магазинов	http://data.mos.ru/datasets/750	750	Департамент торговли и услуг города Москвы	Торговля
Спортивно-техническое направление	http://data.mos.ru/datasets/564	564	Департамент образования города Москвы	Образование
Спортивные объекты города Москвы	http://data.mos.ru/datasets/629	629	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
