1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
514м;"ст.м.""""Каширская"""" - ТЦ """"Москва""""";"ст.м.""""Каширская"""" - Какширское шоссе - Борисовские пруды улица - Братеевский мост - Люблинская улица - ст.м.""""Марьино"""" - Люблинская улица - Верх.Поля улица - Новороссийская улица - Совхозная улица (обратно: Белореченская улица) - Краснодарская улица - Перерва улица - ТЦ """"Москва""""";8;8;20;30,1;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Альфа-Транс XXI век""""";;
515м;"ст.м.""""Люблино"""" - ТЦ """"Москва""""";"ст.м.""""Люблино"""" - Совхозная улица -Краснодарская улица - Перерва улица - ТЦ """"Москва""""";6;3;8;3,5;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ЗАО """"Эвромекс-транс""""  / ООО """"Альфа-Транс XXI век""""";;
516м;"Парк культуры """"Сокольники"""" - пос.Восточный";"Парк культуры """"Сокольники"""" - Сокольническая площадь - ст.м.""""Сокольники"""" - Стромынка улица - Преображенская улица - Преображенская площадь - ст.м.""""Преображенская площадь"""" - Большая Черкизовская улица - ст.м.""""Черкизовская"""" - Щелковское шоссе - ст.м.""""Щелковская"""" - Щелковское шоссе - пос.Восточный";20;8;13;30,4;М2 класс II;6.00 / 6.00;21.00 / 21.00;"ОАО """"Группа Автолайн""""";;
517м;"ст.м.""""Орехово"""" - ТЦ """"Москва""""";"ст.м.""""Орехово"""" - Шипиловский проезд - Ореховый бульвар - ст.м.""""Домодедовская"""" - Ореховый бульвар - ст.м.""""Красногвардейская"""" - Ореховый бульвар - Кустанайская улица - Задонский проезд - Хордовый проезд - Братеевский мост - Люблинская улица - ст.м.""""Марьино"""" - Люблинская улица - Новомарьинская улица - Мячковский бульвар - ст.м.""""Братиславская"""" - Перерва улица - Братиславская улица - Верхние Поля улица - Белореченская улица - Краснодарская улица - ТЦ """"Москва""""";6;12;20;29,1;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Альфа-Транс XXI век""""";;
518м;"ст.м.""""Пражская"""" - ул.Акад.Янгеля";"ст.м.""""Пражская"""" - Красного Маяка улица - Чертановская улица - Академика Янгеля улица";12;3;10;5,3;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
519м;"Ст.м.""""Юго-Западная"""" - Матвеевское";"Ст.м.""""Юго-Западная"""" - Вернадского проспект - Лобачевского улица - Аминьевское шоссе - Матвеевская улица - Веерная улица - мкр.""""Матвеевское""""";8;5;12;17,4;М2 класс В;6.30 / 7.00;23.00 / 22.30;"ООО """"БЕТТА-АВТОТРАНС""""";;
520м;"Ст.м.""""Текстильщики"""" - ТЦ """"Москва""""";"Ст.м.""""Текстильщики"""" - Люблинская ул. - Перерва ул. - Верхние Поля ул. - Белореченская ул. - (обратно: Цимлянская ул.) - Краснодарская ул. - ТЦ """"Москва""""";16;6;15;22;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ЗАО """"Эвромекс-транс""""";;
521м;"ст.м.""""Царицыно"""" - ТЦ """"Москва""""";"ст.м.""""Царицыно"""" - Каспийская улица - Каширское шоссе (обратно: Новоцарицинское шоссе) - Шипиловская улица - Задонский проезд - Хордовый проезд - Люблинская улица - ст.м.""""Марьино"""" - Люблинская улица - Судакова улица - Новороссийская улица - Краснодарская улица - ст.м.""""Люблино"""" - Совхозная улица - Ставропольская улица - Тихорецкий бульвар - Краснодарская улица - Перерва улица - ТЦ """"Москва""""";7;8;20;35,3;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ЗАО """"Эвромекс-транс""""";;
522м;"ст.м.""""Люблино"""" - ст.м.""""Кузьминки""""";"Ст.м.""""Люблино"""" - Совхозная улица (обратно Цимлянская улица - Краснодарская улица) - Белореченская улица - Новомарьинская улица - Мячковский бульвар - Перерва улица - Краснодонская улица - Маршала Чуйкова улица - Юных Ленинцев улица - Зеленодольская улица - ст.м.""""Кузьминки""""";8;10;15;20,8;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ЗАО """"Эвромекс-транс""""  / ООО """"Альфа-Транс XXI век""""";;
523м;23-й квартал Новых Черемушек -  ул.Дорохова;23-й кв-л Новых Черемушек - Новочеремушкинская улица - Гарибальди улица - Архитектора Власова улица - Нахимовский проспект - Ломоносовский проспект - Минская улица - Кутузовский проспект (обратно: Староможайское шоссе) - Можайское шоссе - Рябиновая улица - Верейская улица - Дорохова улица;12;7;15;34;М2 класс В;6.30 /  7.00;22.30 /  21.30;"ООО """"БЕТТА-АВТОТРАНС""""";;
524м;"ТЦ """"Москва"""" - Ст.м.""""Текстильщики"""" (Шоссейная ул.)";"ТЦ """"Москва"""" - Краснодарская ул. -Белореченская ул. (обратно: Совхозная ул.) - Верхние Поля ул. - Нижние Поля ул. - Шоссейная ул. - ст.м.""""Печатники"""" - Шоссейная ул. - Ст.м.""""Текстильщики"""" (Шоссейная ул.)";10;8;17;28;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ЗАО """"Эвромекс-транс""""";;
525м;"Ст.м.""""Университет"""" - Киевский вокзал";"ст.м.""""Университет"""" - Ломоносовский проспект - Мосфильмовская улица - Воробьевское шоссе - Бережковская набережная - Киевский вокзал (ст.м.""""Киевская"""")";12;5;10;17,6;М2 класс В;7.00 / 7.30;23.00 / 22.00;"ООО """"БЕТТА-АВТОТРАНС""""";;
526м;"ул.Братеевская - ТЦ """"Москва""""";"ул.Братеевская - ул.Борисовские пруды - ул.Ключевая - Братеевский мост - ст.м.""""Марьино"""" - ул.Люблинская - ул.Верх.Поля - ул.Белореченская -ул.Краснодарская - ТЦ """"Москва""""";8;5;10;11;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ЗАО """"Эвромекс-транс""""";;
527м;"ст.м.""""Кузьминки"""" - ТЦ """"Москва""""";"ст.м.""""Кузьминки"""" - Маршала Чуйкова улица - Краснодонская улица - Ставропольская улица - Совхозная улица - Краснодарская улица - ТЦ """"Москва""""";6;5;10;12,6;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ЗАО """"Эвромекс-транс""""";;
