"0_Код объекта";"1_Наименование объекта";"1_Адрес объекта";"0_Координата X";"0_Координата Y";"1_Округ";"1_Район";"1_Вид объекта";"1_Период размещения";"1_Дата начала срока размещения";"1_Дата окончания срока размещения";"1_Номер свидетельства";"1_Дата выдачи свидетельства";"1_Специализация"
"000003946";"Цветы на Кутузовский пр-т, вл.34";"Кутузовский просп. 34";"37,530859";"55,73962";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"31.12.2014";"805-000473";"07.10.2011";"Цветы"
"000003947";"Бытовые услуги на Студенческая ул. вблизи вл.33";"Студенческая ул. 33 к. 2";"37,544836999";"55,739654";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"26.09.2011";"31.12.2014";"805-000474";"07.10.2011";"Бытовые услуги"
"000003948";"Овощи, фрукты на Кутузовский пр-т вл. 35";"Кутузовский просп. 35";"37,538236999";"55,740322";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"07.11.2011";"06.11.2014";"805-000475";"07.12.2011";"Овощи и фрукты"
"000003949";"Овощи, фрукты на Ул. Дунаевского,вл.  4";"ул. Дунаевского 4";"37,545428";"55,743043";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"07.11.2011";"06.11.2014";"805-000476";"08.12.2011";"Овощи и фрукты"
"000003950";"Хлеб на Ул. Дунаевского,вл.  4";"ул. Дунаевского 4";"37,545102";"55,743056";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"10.11.2011";"09.11.2014";"805-000477";"08.12.2011";"Хлеб"
"000003951";"Бытовые услуги на Ул. Брянская, вл. 2";"Брянская ул. 2";"37,562932999";"55,744343";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"10.11.2011";"09.11.2014";"805-000478";"08.12.2011";"Бытовые услуги"
"000003952";"Бытовые услуги на 2-й Брянский переулок, вл. 1";"2-й Брянский пер. 6";"37,564625";"55,74519";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"10.11.2011";"09.11.2014";"805-000479";"08.12.2011";"Бытовые услуги"
"000003953";"Мороженное на Кутузовский пр-т, вл.34";"Кутузовский просп. 34";"37,530587";"55,739671";"ЗАО";"Дорогомилово";"Модульный объект";"с 1 января по 31 декабря";"18.11.2011";"17.11.2014";"805-000480";"08.12.2011";"Мороженое"
"000003954";"Колбасная гастрономия на Рублевское ш., вл.32 к.2";"Рублёвское шоссе 32";"37,41926";"55,747548";"ЗАО";"Крылатское";"Модульный объект";"с 1 января по 31 декабря";"19.09.2011";"18.09.2014";"806-000355";"07.10.2011";"Гастрономия"
"000013136";"Букинист";"ул. Арбат 37/2 с. 1";"37,590235";"55,749051";"ЦАО";"Арбат";"Лоток";"с 1 января по 31 декабря";"13.06.2012";"13.06.2015";"100-000102";"13.06.2012";"Книги"
"000013137";"Ромаев";"ул. Арбат 42 с. 1";"37,587199";"55,748215";"ЦАО";"Арбат";"Лоток";"с 1 января по 31 декабря";"11.05.2012";"11.05.2015";"100-001286";"11.05.2012";"Книги"
"000013138";"ИНКОМСТРОЙСЕРВИС";"Верхняя Красносельская ул. 3 с. 2";"37,659608";"55,785925";"ЦАО";"Красносельский";"Павильон";"с 1 января по 31 декабря";"08.02.2012";"08.02.2015";"100-000602";"08.02.2012";"Бытовые услуги"
"000013217";"Черненко В.А.";"Новая Басманная ул. 5 с. 1";"37,653535";"55,769694";"ЦАО";"Красносельский";"Лоток";"с 1 января по 31 декабря";"04.10.2011";"04.10.2014";"100-000617";"04.10.2014";"Печать"
"000013218";"Лотереи Москвы";"Новорязанская ул. 16/11 с. 1";"37,660466";"55,772343";"ЦАО";"Красносельский";"Павильон";"с 1 января по 31 декабря";"11.05.2012";"11.05.2015";"100-000618";"11.05.2012";"Печать"
"000013219";"Кафе на Новая Басманная ул. 30";"Новая Басманная ул. 30";"37,667289";"55,769658";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Кафе"
"000013220";"Печать на Новорязанская ул. 2/7";"Новорязанская ул. 2/7";"37,65471";"55,771838";"ЦАО";"Красносельский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"17.07.2015";;;"Печать"
"000013221";"ЕВРО-Топ";"Новая Басманная ул. 30";"37,667332";"55,769724";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000119";"07.08.2012";"Кафе"
"000013222";"Юником";"Нижний Сусальный пер. 5 С. 1";"37,666136";"55,761184";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000238";"07.08.2012";"Кафе"
"000013223";"Адьютерра";"Нижний Сусальный пер. 5 С. 1";"37,666248999";"55,761152999";"ЦАО";"Басманный";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000236";"07.08.2012";"Кафе"
