0_ID;1_Вид транспорта;1_Наименование проездного докумета;1_Стоимость проездного документа;1_Срок действия проездного докумета;0_Использование транспортного приложения к банковской карте
82;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 35 поездок в течение календарного месяца;910.0;С момента изготовления на срок действия банковской карты;1
83;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 36 поездок в течение календарного месяца;936.0;С момента изготовления на срок действия банковской карты;1
87;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 40 поездок в течение календарного месяца;1040.0;С момента изготовления на срок действия банковской карты;0
88;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 41 поездка в течение календарного месяца;1066.0;С момента изготовления на срок действия банковской карты;0
92;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 45 поездок в течение календарного месяца;1170.0;С момента изготовления на срок действия банковской карты;0
93;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 46 поездок в течение календарного месяца;1196.0;С момента изготовления на срок действия банковской карты;0
97;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 50 поездок в течение календарного месяца;1300.0;С момента изготовления на срок действия банковской карты;0
98;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 51 поездка в течение календарного месяца;1326.0;С момента изготовления на срок действия банковской карты;0
102;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 55 поездок в течение календарного месяца;1430.0;С момента изготовления на срок действия банковской карты;0
103;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 56 поездок в течение календарного месяца;1456.0;С момента изготовления на срок действия банковской карты;0
107;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 60 поездок в течение календарного месяца;1560.0;С момента изготовления на срок действия банковской карты;0
108;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 61 поездка в течение календарного месяца;1586.0;С момента изготовления на срок действия банковской карты;0
112;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 65 поездок в течение календарного месяца;1690.0;С момента изготовления на срок действия банковской карты;0
113;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 66 поездок в течение календарного месяца;1716.0;С момента изготовления на срок действия банковской карты;1
117;Автобус, троллейбус, трамвай;Банковская карта с транспортным приложеннием. 70 поездок в течение календарного месяца;1820.0;С момента изготовления на срок действия банковской карты;1
118;Автобус;Пригород 1;23.0;День продажи;1
122;Автобус;Пригород 5;50.0;День продажи;1
123;Автобус;Пригород 6;58.0;День продажи;1
126;Автобус;Пригород 9;83.0;День продажи;1
127;Автобус;Пригород 10;92.0;День продажи;1
131;Автобус;Пригород 14;125.0;День продажи;1
132;Автобус;Пригород 15;133.0;День продажи;1
136;Центральная пригородная пассажирская компания;Билет. Разовый детский;7.0;указанная дата, но не более, чем 10 дней от даты продажи;1
137;Центральная пригородная пассажирская компания;Билет. "Большая Москва" на месяц;1040.0;1 месяц;1
141;Центральная пригородная пассажирская компания;Билет. 90 поездок;2110.0;60 дней с даты оформления абонементного билета;1
142;Центральная пригородная пассажирская компания;Билет. Животные/велосипед;60.0;указанная дата, но не более, чем 10 дней от даты продажи;1
146;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 5 дней;245.0;1 месяц;1
147;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 10 дней;347.0;1 месяц;1
151;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 1 месяц;1040.0;1 месяц;1
152;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 2 месяца;2080.0;2 месяца;1
156;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 6 месяцев;6240.0;6 месяцев;1
