0_OBJECTID;0_UIDNFTN;1_Кадастровый номер;1_Адрес;1_Площадь;0_ZPO;1_Разрешение на использование
639;25317224;77:02:0001017:44;ул Новгородская (г Москва, ул Новгородская, вл 12);19148; ;использования территории и эксплуатации здания школы
640;25316624;77:01:0003044:15;ул Дурова (г Москва, ул Дурова, вл 24/26, стр 3/, стр 1, 2, 4, 6);20109; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЛЯ ОКАЗАНИЯ МЕДПОМОЩИ НАСЕЛЕНИЮ И БЛАГОУСТРОЙСТВА ТЕРРИТОРИИ
641;25323379;77:10:0004005:13;мкр 3-й (г Москва, 3-й микрорайон г Зеленограда, корпус 336А);9854; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
642;25323399;77:09:0005012:94;ш Хорошевское (г Москва, ш Хорошевское, вл 3);6941; ;осуществления общеобразовательной школы
643;25274631;77:04:0003012:48;ул ШОССЕЙНАЯ (г Москва, ул Шоссейная, вл 98);5167; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОДСТАНЦИИ № 8 СКОРОЙ НЕОТЛОЖНОЙ МЕДИЦИНСКОЙ ПОМОЩИ
644;25278363;77:10:0001004:43;мкр 11-й (г Москва, 11-й микрорайон г Зеленограда, корпус 1122);9116; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
645;25271103;77:01:0001062:95;пер Трубниковский (г Москва, пер Трубниковский, вл 23, стр 2);3211; ;эксплуатации здания и территории для осуществления учебно-воспитательной деятельности
646;25272009;77:01:0004040:26;пер Стрельбищенский (г Москва, пер Стрельбищенский, вл 11б, стр 1);3198; ;эксплуатации здания под учебно-воспитательные цели и использования прилегающей территории под прогулочную площадку
647;25260332;77:07:0005006:8;ул Кастанаевская (г Москва, Кастанаевская улица, вл 10);8162; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ № 590
648;25254168;77:05:0007002:177;ул ДНЕПРОПЕТРОВСКАЯ (г Москва, ул Днепропетровская, вл 5А);9352; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
649;25260063;77:04:0004007:2;ул Текстильщиков 7-я (г Москва, 7-я улица Текстильщиков, вл 4/А);3096; ;ЭКСПЛУАТАЦИИ ПОЛИКЛИНИКИ
650;25318845;77:03:0005003:63;б-р Сиреневый (г Москва, б-р Сиреневый, вл 8, стр 1);4216; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
651;25322012;77:08:0003007:11;ул Героев Панфиловцев (г Москва, ул Героев Панфиловцев, вл 3, корпус 2);9888; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
652;25318526;77:03:0001005:10;ул Миллионная (г Москва, Миллионная улица, вл 6);5091,49; ;земельные участки, предназначенные для размещения зданий, объектов здравоохранения (1.2.7)
653;25321396;77:06:0012003:17;ул Поляны (г Москва, ул Поляны, вл 48, стр 1-10);7626; ;эксплуатации имущественного комплекса питомника служебного собаководства
654;25361413;77:01:0004013:43;ул Садовая-Кудринская (г Москва, Садовая-Кудринская улица, Зоологическая улица, вл 15/15);49059;Аренда;эксплуатации больницы
655;25361262;77:01:0003017:84;пер Лефортовский (г Москва, пер Лефортовский, вл 10);6894; ;эксплуатации здания под учебно-воспитательные цели и благоустройство территории
656;25361115;77:01:0003011:34;ул Бауманская (г Москва, ул Бауманская, вл 70, стр 1,2,3,4);4508; ;эксплуатации зданий под медицинские цели и благоустройство территории
657;25323331;77:09:0005001:33;ул Панфилова (г Москва, ул Панфилова, вл 6);3646; ;эксплуатации для осуществления образовательной деятельности
658;25321409;77:06:0012004:27;ул Горчакова (г Москва, ул Горчакова, вл 9, корпус 1);10908; ;эксплуатации имущественного комплекса школы без права изменения функционального назначения
659;25323380;77:10:0004005:21;мкр 3-Й (г Москва, 3-й микрорайон г Зеленограда, корпус 330А);10151; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
660;25323391;77:10:0002005:58;мкр 9-Й (г Москва, 9-й микрорайон г Зеленограда, корпус 913-А);16132; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
661;25320887;77:06:0005015:44;ул Каховка (г Москва, ул Каховка, вл 7, корпус 3);8060; ;эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
662;25391606;77:04:0004028:1001;ул Верхние Поля (г. Москва, ул. Верхние Поля, вл. 38, корп. 2);9037,19; ;эксплуатация здания, расположенного на земельном участке с функциональным, строительным и ландшафтным назначением, согласно утвержденному градостроительному зонированию под детский сад
663;25394021;77:01:0006024:9;ул Марксистская (г Москва, ул Марксистская, вл 9, корпус 2);12499; ;эксплуатации здания под учебные цели с благоустройством территории
664;25364544;77:04:0004024:15;б-р Перервинский (г Москва, б-р Перервинский, вл 10, корпус 1);12808; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
665;25363542;77:03:0005014:10;пр-кт Измайловский (г. Москва, Измайловский проспект, вл. 91А);2509; ;земельные участки, предназначенные для размещения объектов здравоохранения и социального обеспечения (1.2.17)
666;25255450;77:10:0002002:175;мкр 4-Й (г Москва, 4-й микрорайон г Зеленограда, корпус 411А);2800; ;"эксплуатации части здания с целью размещения административных служб; эксплуатации части здания с целью размещения административных служб"
667;25300115;77:10:0006004:148;мкр 16-й (г Москва, 16-й микрорайон г Зеленограда, корпус 1638);5400; ;эксплуатации здания с целью оказания стоматологических услуг населению
668;25366931;77:08:0004015:19;ул Лодочная (г Москва, ул Лодочная, вл 37, корпус 4);9767; ;ЭКСПЛУАТАЦИИ ДЕТСКИХ ЯСЛЕЙ-САДА
669;25299072;77:05:0011002:192;б-р ОРЕХОВЫЙ (г Москва, б-р Ореховый, вл 3);19331; ;ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
670;25299047;77:05:0012002:115;ул Кустанайская (г Москва, ул Кустанайская, вл 14, корпус 2);8860; ;ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
