"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Площадь (га)";"1_Телефон";"1_Типы захоронений";"1_Статус кладбища";"0_POINT_X";"0_POINT_Y"
83.00000000000;"Остафьево кладбище";"Остафьево кладбище";"Поселение Рязановское, п. Остафьево";37.50389100000;55.49458500000;0.00000000000;"";"";"";"";7.25000000000;"232-40-21";"";"Закрытое";4174914.04020000020;7458452.78440000020
84.00000000000;"Переделкинское кладбище";"Переделкинское кладбище";"поселение Внуковское, с. Переделкино";37.34424600000;55.65645400000;0.00000000000;"";"";"";"";4.50000000000;"448-67-88";"";"Закрытое";4157142.44130000010;7490327.15820000040
85.00000000000;"Передельцевское кладбище";"Передельцевское кладбище";"Поселение Московский";37.37736000000;55.58641600000;0.00000000000;"";"";"";"";3.00000000000;"448-67-88";"";"Закрытое";4160828.67439999990;7476519.52130000010
86.00000000000;"Перепечинское кладбище";"Перепечинское кладбище";"Московская обл., Солнечногорский р-н, п/о Перепечино, 32-й км. Ленинградского ш.";37.38673900000;56.00761400000;0.00000000000;"";"";"";"";106.50000000000;"578-90-26";"";"Открытое";4161872.74239999990;7559931.54660000000
87.00000000000;"Перловское кладбище";"Перловское кладбище";"93-й км. МКАД";37.69640000000;55.89240800000;0.00000000000;"";"";"";"";12.71100000000;"474-24-19";"";"Закрытое";4196344.04609999990;7537026.89039999990
88.00000000000;"Перовское кладбище";"Перовское кладбище";"Ул. Кетчерская, д. 20";37.83825300000;55.74163100000;0.00000000000;"";"";"";"";5.88570000000;"375-29-61";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4212135.04860000030;7507152.70370000040
89.00000000000;"Песье кладбище";"Песье кладбище";"Поселение Щаповское, д. Песье";37.38623500000;55.40814900000;0.00000000000;"";"";"";"";0.45000000000;"232-40-21";"";"Закрытое";4161816.63400000010;7441485.89709999970
90.00000000000;"Покровское кладбище";"Покровское кладбище";"Ул. Подольских Курсантов, стр. 24";37.63304900000;55.59508400000;0.00000000000;"";"";"";"";14.45380000000;"383-43-38";"Захоронение урной в землю";"Закрытое";4189291.84320000000;7478227.03749999960
91.00000000000;"Поповка кладбище";"Поповка кладбище";"Поселение Первомайское, д. Поповка";37.24226300000;55.51519600000;0.00000000000;"";"";"";"";0.50000000000;"952-47-37, 952-29-63";"";"Закрытое";4145789.74509999990;7462504.09999999960
92.00000000000;"Преображенское кладбище";"Преображенское кладбище";"ул. Перображенский Вал, д. 17а";37.72168800000;55.79043200000;0.00000000000;"";"";"";"";16.52090000000;"(499) 161-12-01";"Открытый колумбарий";"Закрытое";4199159.09269999990;7516809.22250000010
93.00000000000;"Прокшинское кладбище";"Прокшинское кладбище";"Поселение Сосенское, д. Прокшино";37.44179700000;55.57887700000;0.00000000000;"";"";"";"";4.00000000000;"448-67-88";"";"Закрытое";4168001.76830000010;7475034.71530000030
94.00000000000;"Пучково кладбище";"Пучково кладбище";"Поселение Первомайское, д. Пучково";37.26914800000;55.48606500000;0.00000000000;"";"";"";"";1.80000000000;"952-47-37, 952-29-63";"";"Закрытое";4148782.56930000010;7456778.70409999970
95.00000000000;"Пыхтинское кладбище";"Пыхтинское кладбище";"Поселение Внуковское, с. Пыхтино";37.29220100000;55.62643800000;0.00000000000;"";"";"";"";20.00000000000;"448-67-88";"";"Закрытое";4151348.81829999990;7484406.63449999970
96.00000000000;"Пятницкое кладбище";"Пятницкое кладбище";"Дроболитейный пер., вл. 3";37.64227300000;55.79985900000;0.00000000000;"";"";"";"";14.25920000000;"687-34-61";"Захоронение урной в землю, захоронение урной в саркофаг";"Закрытое";4190318.65540000000;7518675.98799999990
97.00000000000;"Раево кладбище";"Раево кладбище";"Поселение Краснопахорское, д. Раево";37.33568700000;55.43892900000;0.00000000000;"";"";"";"";0.70000000000;"232-40-21";"";"Закрытое";4156189.65650000000;7447523.57210000050
98.00000000000;"Раевское кладбище";"Раевское кладбище";"Олонецкий пр., вл. 2";37.66005500000;55.87204400000;0.00000000000;"";"";"";"";2.95590000000;"(499) 188-42-46";"Захоронение урной в землю";"Закрытое";4192298.13920000010;7532985.30210000000
99.00000000000;"Ракитки кладбище";"Ракитки кладбище";"Поселение Десеновское, с. Десна";37.36521000000;55.52462200000;0.00000000000;"";"";"";"";30.30000000000;"448-67-88";"";"Закрытое";4159476.14220000010;7464357.59049999990
100.00000000000;"Рогожское кладбище";"Рогожское кладбище";"Ул. Войтовича, д. 31а";37.70299500000;55.74214100000;0.00000000000;"";"";"";"";9.65000000000;"361-49-00";"Открытый колумбарий, захоронение урной в землю";"Закрытое";4197078.19710000050;7507253.55709999990
