№ строки	Наименование перевозчика	Дата	Станция	Тип билета	Количество билетов
121	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЕРХУШКОВО	Абонемент	8.0
122	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЗВЕНИГОРОД	Разовый	320.0
123	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЖАВОРОНКИ	Абонемент	71.0
124	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БАРЫБИНО	Разовый	425.0
125	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЖИЛЕВО	Разовый	102.0
126	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЛ КАЛИНИНА	Разовый	98.0
127	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЛ КАЛИНИНА	Абонемент	2.0
128	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА Т ПАВЕЛ	Абонемент	2.0
129	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КАРАЧАРОВО	Разовый	211.0
130	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	НОГИНСК	Разовый	526.0
131	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ПЕРЕРВА	Абонемент	7.0
132	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	МОСКВА КУР	Разовый	11919.0
133	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	КУЧИНО	Абонемент	19.0
134	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СЕРПУХОВ	Разовый	590.0
135	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЧУХЛИНКА	Разовый	1015.0
136	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЛЬВОВСКАЯ	Разовый	394.0
137	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЩЕРБИНКА	Абонемент	16.0
138	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	СИЛИКАТНАЯ	Разовый	209.0
139	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	БАЛАШИХА	Абонемент	13.0
140	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЛЮБЛИНО Д	Абонемент	9.0
141	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЩЕЛКОВО	Разовый	740.0
142	ОАО "ЦППК"	2013-01-15T00:00:00.000+03:00	ЧЕЛЮСКИНСКАЯ	Разовый	272.0
