№ строки	Название объекта	Адрес	Округ	Район	Вид нестационарного объекта	Период размещения	Дата начала договора	Дата окончания договора	Номер свидетельства	Дата свидетельства
85	Мороженое, район Старое Крюково, у поликлиники № 201	Зеленоград  к. 911	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	05.08.2011 0:00:00	05.08.2014 0:00:00	1000-01252	20.09.2011 0:00:00
86	Молоко в составе торговой зоны у корп. 919	Зеленоград  к. 919	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	29.05.2012 0:00:00	29.05.2015 0:00:00	1000-001520	01.06.2012 0:00:00
87	Квас, район Старое Крюково, у корп.900, объект № 2 пл. 3 кв.м	Зеленоград  к. 900	ЗелАО	Старое Крюково	Ролл-бар	с 1 апреля по 1 ноября	14.05.2012 0:00:00	01.11.2014 0:00:00	1000-001494	17.05.2012 0:00:00
88	Овощи, фрукты на Зеленоград, Район Старое Крюково, у корп.900 в составе торговой зоны № 1	Зеленоград  к. 900	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	12.09.2011 0:00:00	12.09.2014 0:00:00	1000-001544	13.06.2012 0:00:00
89	Гастрономия на Зеленоград, Район Старое Крюково,У корп.908 в составе торговой зоны № 12	Зеленоград  к. 908	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	05.06.2012 0:00:00	05.06.2015 0:00:00	1000-001537	06.06.2012 0:00:00
90	печать на Зеленоград, Район Старое Крюково, у корп.900, пл.6	Зеленоград  к. 900	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	26.08.2011 0:00:00	26.08.2014 0:00:00	1000-01202	16.09.2011 0:00:00
91	Гастрономия на Зеленоград, Район Старое Крюково, в составе торговой зоны 2. у корп.900	Зеленоград  к. 900	ЗелАО	Старое Крюково	Павильон	с 1 января по 31 декабря	01.12.2011 0:00:00	01.12.2014 0:00:00	1000-01471	15.12.2011 0:00:00
92	печать на Зеленоград, Район Старое Крюково, у ост. МГИЭТ, пл.6	Зеленоград, Солнечная аллея	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-01238	20.09.2011 0:00:00
93	Кафе на Зеленоград, Район Старое Крюково,У корп.908 в составе торговой зоны № 12	Зеленоград  к. 908	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	01.06.2012 0:00:00	01.06.2015 0:00:00	1000-001529	05.06.2012 0:00:00
94	Бахчевой развал у корп. 908 , площадь. 18 кв. м.	Зеленоград  к. 908	ЗелАО	Старое Крюково	Бахчевой развал	с 1 августа по 1 ноября	01.08.2012 0:00:00	01.11.2014 0:00:00	1000-001569	14.06.2012 0:00:00
95	Зоотовары на Зеленоград, Район Силино, у корп.1102, в составе торговой зоны 2, пл.37	Зеленоград  к. 1102	ЗелАО	Силино	Павильон	с 1 января по 31 декабря	12.08.2011 0:00:00	16.09.2014 0:00:00	1000-01179	12.08.2011 0:00:00
96	Овощи, фрукты на Зеленоград, Район Силино, У корп. у корп.1102 в составе торговой зоны № 2	Зеленоград  к. 1102	ЗелАО	Силино	Модульный объект	с 1 января по 31 декабря	15.09.2011 0:00:00	15.09.2014 0:00:00	1000-01299	22.09.2011 0:00:00
97	Мороженое, Зеленоград, район Стаое Крюково, Крюковская площадь 6 кв. м.	Зеленоград, Крюковская пл.	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	08.06.2012 0:00:00	08.06.2015 0:00:00	1000-001554	14.06.2012 0:00:00
98	Рыба на Зеленоград, Район Старое Крюково, у корп.919 в составе торговой зоны № 1	Зеленоград  к. 919	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	13.09.2011 0:00:00	13.09.2014 0:00:00	1000-001588	28.08.2012 0:00:00
99	Мороженое, соки, воды у корп.802 в составе торговой зоны № 5	Зеленоград  к. 802	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	08.06.2012 0:00:00	08.06.2015 0:00:00	1000-001551	13.06.2012 0:00:00
100	Квас, район Старое Крюково, у корп.813, объект № 1 пл. 3 кв.м	Зеленоград  к. 813	ЗелАО	Старое Крюково	Ролл-бар	с 1 апреля по 1 ноября	14.05.2012 0:00:00	01.11.2014 0:00:00	1000-001493	17.05.2012 0:00:00
101	гастрономия на Зеленоград, Район Старое Крюково, у корп.919 в составе торговой зоны 1, пл.18	Зеленоград  к. 919	ЗелАО	Старое Крюково	Модульный объект	с 1 января по 31 декабря	01.01.2011 0:00:00	31.12.2013 0:00:00	1000-001574	23.08.2012 0:00:00
102	Бахчевой развал у корп.1104	Зеленоград  к. 1104	ЗелАО	Силино	Бахчевой развал	с 1 августа по 1 ноября	09.06.2012 0:00:00	09.06.2015 0:00:00	1000-001563	14.06.2012 0:00:00
103	Молоко, Зеленоград, район Силино, у корп.1104	Зеленоград  к. 1104	ЗелАО	Силино	Автоцистерна	с 1 января по 31 декабря	15.05.2012 0:00:00	15.05.2015 0:00:00	1000-001585	24.08.2012 0:00:00
