№ строки	Название объекта	Адрес	Округ	Район	Общая площадь__кв.м	Привязан к стационарному объекту	Наименование хозяйствующего субъекта
203	Сезонное кафе	просп. Вернадского 121 к. 1	ЗАО	Тропарево-Никулино	58.0	Якитория	ФРИГОЛД
204	Сезонное кафе	ул. Обручева 24	ЮЗАО	Обручевский	50.0	РЕСТОРАН "АППЕТИ"	МАРКИЯНА
205	Сезонное кафе	ул. Обручева 16 к. 1	ЮЗАО	Обручевский	40.0	У ТАТЬЯНЫ	У ТАТЬЯНЫ
206	Сезонное кафе	Старокалужское шоссе 64 с. 2	ЮЗАО	Обручевский	60.0	КАФЕ	ЦЕЗАРЬ
207	Сезонное кафе	Братиславская ул. 14	ЮВАО	Марьино	33.0	ВОЛНА	ВОЛНА
208	Сезонное кафе	Братиславская ул. 14	ЮВАО	Марьино	80.0	ШАШЛЫЧНЫЙ ДВОРИК	ПИГМАЛИОН
209	Сезонное кафе	Братиславская ул. 16 к. 1	ЮВАО	Марьино	80.0	Кафе Макдоналдс	МОСКВА- МАКДОНАЛДС
210	Сезонное кафе	ул. Перерва 43 к. 1	ЮВАО	Марьино	65.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
211	Сезонное кафе	ул. Перерва 43 к. 1	ЮВАО	Марьино	80.0	ЛАНЧ	ЛАНЧ
212	Сезонное кафе	Азовская ул. 5	ЮЗАО	Зюзино	150.0	СКАЗКА	Общество с ограниченной ответственностью "Сказка"
213	Сезонное кафе	Братиславская ул. 13 к. 1	ЮВАО	Марьино	80.0	ВОСТОЧНЫЙ РАЙ	ЦЕНТР ГРАНД
214	Сезонное кафе	ул. Намёткина 13Г	ЮЗАО	Черёмушки	60.0	Корчма "Тарас Бульба"	СИТИ
215	Сезонное кафе	ул. Перерва 58	ЮВАО	Марьино	80.0	АЛЬЯНС	Кафе "quick"
216	Сезонное кафе	Новочерёмушкинская ул. 66 к. 1	ЮЗАО	Черёмушки	30.0	Бон Чибо	Бон Чибо
217	Сезонное кафе	ул. Перерва 58	ЮВАО	Марьино	80.0	АЛЬЯНС	Кафе "quick"
218	Сезонное кафе	ул. Намёткина 9	ЮЗАО	Черёмушки	100.0	ОРА кафе "Очаг Султана"	ОРА
219	Сезонное кафе	просп. Вернадского 105 к. 3	ЗАО	Тропарево-Никулино	60.0	Бенто-кафе	Бенто-Сити Групп
220	Сезонное кафе	Тропаревская ул. 4	ЗАО	Тропарево-Никулино	80.0	ЗОДИАК	ЗОДИАК
221	Сезонное кафе	ул. Покрышкина 2	ЗАО	Тропарево-Никулино	80.0	Кафе "Маленькая Япония"	ЛАНЧ
222	Сезонное кафе	ул. Покрышкина 2	ЗАО	Тропарево-Никулино	56.64	ШОКОЛАДНИЦА - ГАЛЕРЕЯ - АЛЕКС	Галерея - АЛЕКС
223	Сезонное кафе	ул. Покрышкина 2	ЗАО	Тропарево-Никулино	56.0	КОФЕ ХАУС ЭСПРЕССО И КАПУЧИНО БАР	Кофе Хаус Эспрессо и Капучино Бар
224	Сезонное кафе	Севастопольский просп. 28 к. 2	ЮЗАО	Черёмушки	100.0	САМ ПРИШЕЛ	КОМПАНИЯ "ЖИЗНЬ"
225	Сезонное кафе	ул. Покрышкина 4	ЗАО	Тропарево-Никулино	50.0	СТАРБАКС КОФЕ	КОФЕ СИРЕНА
226	Сезонное кафе	Никулинская ул. 13	ЗАО	Тропарево-Никулино	80.0	В НИКУЛИНО	ПАРФЕН
227	Сезонное кафе	ул. Намёткина 3	ЮЗАО	Обручевский	96.0	Алма	АЛМА
228	Сезонное кафе	Профсоюзная ул. 45А	ЮЗАО	Черёмушки	210.0	СТЕЙК ХАУС	ЕВРОПАЦЕНТР
229	Сезонное кафе	Профсоюзная ул. 45А	ЮЗАО	Черёмушки	150.0	Гудман	Колбасофф Лайт
230	Сезонное кафе	ул. Цюрупы 28	ЮЗАО	Черёмушки	15.0	Бенто	Этель Люкс
231	Сезонное кафе	Нахимовский просп. 20А	ЮЗАО	Котловка	30.0	САРЕНГЕТИ	САРЕНГЕТИ
232	Сезонное кафе	Никулинская ул. 21	ЗАО	Тропарево-Никулино	50.0	ДОНАТЕЛЛО ПИЦЦА	Пицца-Вега
233	Сезонное кафе	просп. Андропова 48	ЮАО	Нагатино-Садовники	96.0	МАННА	АРМА
234	Сезонное кафе	Профсоюзная ул. 56	ЮЗАО	Обручевский	100.0	ТЦ ЧЕРЕМУШКИ	ОПТИМАТЕХНОСТИМУЛ
235	Сезонное кафе	просп. Вернадского 76 к. А	ЗАО	Проспект Вернадского	300.0	ТРАКТИР "САМ ПРИШЕЛ"	Гурман
236	Сезонное кафе	ул. Академика Пилюгина 12 к. 1	ЮЗАО	Ломоносовский	40.0	КП ВОРОНЦОВО	ВОРОНЦОВО
237	Сезонное кафе	ул. Гарибальди 25 к. 1	ЮЗАО	Черёмушки	60.0	ОВИКОМ КАФЕ "КРУЖКА"	ОВИКОМ КАФЕ "КРУЖКА"
238	Сезонное кафе	Озёрная ул. 42	ЗАО	Очаково-Матвеевское	50.0	Бистерия	БИСТЕРИЯ
239	Сезонное кафе	Мещерский просп. 22	ЗАО	Солнцево	150.0	Мещерское и К	Мещерское и Ко
240	Сезонное кафе	ул. Гарибальди 23	ЮЗАО	Черёмушки	100.0	ТПК "АВЕРС 3"	ТПК АВЕРС-3 ТЦ "ПАНОРАМА"
241	Сезонное кафе	ул. Гарибальди 23	ЮЗАО	Черёмушки	100.0	ТПК "АВЕРС 3"	ТПК АВЕРС-3 ТЦ "ПАНОРАМА"
242	Сезонное кафе	Нахимовский просп. 24 с. 9	ЮЗАО	Котловка	200.0	Про суши	Ресторандома
243	Сезонное кафе	Новочерёмушкинская ул. 53А	ЮЗАО	Черёмушки	50.0	РУССКИЙ ДВОРИК	РУССКИЙ ДВОРИК
244	Сезонное кафе	ул. Архитектора Власова 20	ЮЗАО	Обручевский	60.0	РЕСТОРАН "ПОРТЕР ХАУС"	БИЛЬБАО
245	Сезонное кафе	Профсоюзная ул. 33 с. 1	ЮЗАО	Черёмушки	80.0	Металл Трейдинг	Металл Трейдинг
246	Сезонное кафе	Профсоюзная ул. 33 с. 1	ЮЗАО	Черёмушки	90.0	Якитория	Сэйвори
247	Сезонное кафе	Озёрная ул. 42	ЗАО	Очаково-Матвеевское	80.0	АРТ	АРТ
248	Сезонное кафе	Новочерёмушкинская ул. 44 к. 1 с. 1	ЮЗАО	Черёмушки	80.0	КАРИНОЧКА	КАРИНОЧКА
249	Сезонное кафе	ул. Академика Пилюгина 4	ЮЗАО	Ломоносовский	45.0	Макадамия	Технолюкс
250	Сезонное кафе	просп. Андропова 37	ЮАО	Нагатинский затон	58.0	Люфтреал +	Департамент государственного и муниципального имущества города Москвы
251	Сезонное кафе	Нахимовский просп. 35 к. 2	ЮЗАО	Черёмушки	350.0	ВОЛЕРТО	ВОЛЕРТО
252	Сезонное кафе	Ленинский просп. 95	ЮЗАО	Ломоносовский	59.0	Тибон	Паризьен
253	Сезонное кафе	Ореховый бульв. 55 к. 1	ЮАО	Зябликово	100.0	ЮЖНЫЙ ДВОРИК	ЮЖНЫЙ ДВОРИК
254	Сезонное кафе	просп. Андропова 37	ЮАО	Нагатинский затон	45.0	Прокофеконсалтинг	АЙТИЭМ
255	Сезонное кафе	Ленинский просп. 95	ЮЗАО	Ломоносовский	72.0	Паризьен	Паризьен
256	Сезонное кафе	Белореченская ул. 13 к. 3	ЮВАО	Люблино	50.0	ЗАО "НАМАНГАН"	НАМАНГАН
257	Сезонное кафе	Краснодарская ул. 60А	ЮВАО	Люблино	50.0	Кафе Мечта	РУСИМПОРТ
258	Сезонное кафе	просп. Андропова 35А	ЮАО	Нагатинский затон	72.0	Кройс	Департамент государственного и муниципального имущества города Москвы
259	Сезонное кафе	Краснодарская ул. 60А	ЮВАО	Люблино	25.0	Кафе Мечта	РУСИМПОРТ
260	Сезонное кафе	Профсоюзная ул. 27 к. 1	ЮЗАО	Черёмушки	100.0	Нептун	Нептун
261	Сезонное кафе	Совхозная ул. 41	ЮВАО	Люблино	50.0	Фудеко	ФУДЕКО
262	Сезонное кафе	Профсоюзная ул. 27 к. 1	ЮЗАО	Черёмушки	110.0	Колобок	ЭРЛ
263	Сезонное кафе	ул. Ремизова 14 с. 1	ЮЗАО	Котловка	75.0	ЭДЕЛЬВЕЙС	ЭДЕЛЬВЕЙС
264	Сезонное кафе	просп. Вернадского 41 с. 3	ЗАО	Проспект Вернадского	200.6	Пивной клуб Портер	Риком
265	Сезонное кафе	Краснодарская ул. 66	ЮВАО	Люблино	50.0	Ресторан Хаят	Стоик
266	Сезонное кафе	Нахимовский просп. 45 с. 1	ЮЗАО	Черёмушки	110.0	КАСАБЕЛЛА	КАСАБЕЛЛА
267	Сезонное кафе	Профсоюзная ул. 23	ЮЗАО	Черёмушки	120.0	МИЛЬ ФЛЁР	МИЛЬ ФЛЁР
268	Сезонное кафе	Профсоюзная ул. 23	ЮЗАО	Черёмушки	450.0	МИЛЬ ФЛЁР	МИЛЬ ФЛЁР
269	Сезонное кафе	Краснодарская ул. 58Г	ЮВАО	Люблино	30.0	Мир Пиццы	Касса и Ко
270	Сезонное кафе	Ленинский просп. 88	ЮЗАО	Ломоносовский	65.0	Микадо	МИКАДО
271	Сезонное кафе	Ленинский просп. 88	ЮЗАО	Ломоносовский	320.5	Микадо	МИКАДО
272	Сезонное кафе	Ленинский просп. 88	ЮЗАО	Ломоносовский	65.0	Микадо	МИКАДО
273	Сезонное кафе	Солнцевский просп. 2	ЗАО	Солнцево	100.0	Робэс	РОБЭС
274	Сезонное кафе	ул. Миклухо-Маклая 15	ЮЗАО	Обручевский	50.0	КАФЕ-БАР "ПИКАССО"	ОАЗИС -7
275	Сезонное кафе	Научный пр. 19	ЮЗАО	Черёмушки	50.0	КАНТИНА	КАНТИНА "Вкус Востока"
276	Сезонное кафе	ул. 50 лет Октября 2-А	ЗАО	Солнцево	140.0	Тудордорф	Тудордорф
277	Сезонное кафе	ул. Миклухо-Маклая 11	ЮЗАО	Обручевский	20.0	КАФЕ "КАЧЕЛИ"	АСКА
278	Сезонное кафе	ул. Каховка 19 к. 1	ЮЗАО	Зюзино	75.0	Хмельновъ	Каховка 19
279	Сезонное кафе	Братиславская ул. 27 к. 1	ЮВАО	Марьино	80.0	АЛЬЯНС	Кафе "quick"
280	Сезонное кафе	Братиславская ул. 26	ЮВАО	Марьино	65.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
281	Сезонное кафе	Новомарьинская ул. 14/15	ЮВАО	Марьино	80.0	ПИЦЦЕРИЯ " АЛЛО ПИЦЦА"	ГАЛА ПИЦЦА
282	Сезонное кафе	Братиславская ул. 26	ЮВАО	Марьино	45.0	ЛА РОККА	ЯНТАРЬ НТА
283	Сезонное кафе	ул. Гарибальди 3	ЮЗАО	Ломоносовский	80.0	Нардин	Бисквит
284	Сезонное кафе	ул. Гарибальди 3	ЮЗАО	Ломоносовский	130.0	Бисквит	Бисквит
285	Сезонное кафе	Ленинский просп. 87	ЮЗАО	Ломоносовский	4.0	Шато Гурман	Шато Гурман
286	Сезонное кафе	Ленинский просп. 87	ЮЗАО	Ломоносовский	75.0	АДОНИС	АДОНИС
287	Сезонное кафе	Профсоюзная ул. 19	ЮЗАО	Академический	50.0	ГАЛЕРЕЯ АЛЕКС "ШОКОЛАДНИЦА"	Галерея - АЛЕКС
288	Сезонное кафе	Нагатинская ул. 25 с. 1	ЮАО	Нагатино-Садовники	120.0	ПАЛЕО	Кафе "НАГАТИНО"
289	Сезонное кафе	ул. Мичуринский Проспект, Олимпийская Деревня 3 к. 1	ЗАО	Тропарево-Никулино	80.0	IL PATIO	Столичные рестораны
290	Сезонное кафе	просп. Андропова 21А	ЮАО	Нагатинский затон	50.0	АиО	КОМПАНИЯ "АРИЭЛЬ"
291	Сезонное кафе	Новочерёмушкинская ул. 26	ЮЗАО	Академический	48.0	Ганс-Марта	Ганс-Марта
292	Сезонное кафе	ул. Коштоянца 1А	ЗАО	Проспект Вернадского	110.3	"ЗВЕЗДА"	ФАВОРИТ
293	Сезонное кафе	Профсоюзная ул. 15	ЮЗАО	Академический	50.0	НАВИГАТОР	Навигатор
294	Сезонное кафе	ул. Кржижановского 15 к. 3	ЮЗАО	Академический	90.0	ИМПЕРИАЛ АЛЬЯНС	ИМПЕРИАЛ АЛЬЯНС
295	Сезонное кафе	просп. Андропова 28	ЮАО	Нагатино-Садовники	90.0	Ресторан Такао	ФУДЕКО
296	Сезонное кафе	Партийный пер. 1 к. 25	ЮАО	Даниловский	300.0	Кафе ЯКИТОРИЯ	ТОБИКО
297	Сезонное кафе	Снайперская ул. 8Б	ВАО	Вешняки	120.0	ГРИСС	ГРИСС
298	Сезонное кафе	ул. Доватора 13	ЦАО	Хамовники	25.0	-	АНДРИАНОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ
299	Сезонное кафе	Донская ул. 15	ЦАО	Якиманка	70.0	Ньютон	НЬЮТОН
300	Сезонное кафе	ул. Шаболовка 17	ЦАО	Якиманка	80.0	КАФЕ "ТРАТТОРИЯ ВЕНЕЦИЯ"	ТРАТТОРИЯ ВЕНЕЦИЯ
