№ строки	Идентификатор	Кадастровый номер	Адрес	Площадь (кв.м)	Тип собственника	Аренда	Разрешение на использование
84	25496677	77:02:0023008:44	ул Кибальчича    (г Москва, ул Кибальчича, вл 2в)	6499.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
85	25495224	77:01:0003051:53	пер Протопоповский    (г Москва, пер Протопоповский, вл 25, стр 1)	897.25	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
86	25494391	77:01:0001024:31	пер Подсосенский    (г Москва, пер Подсосенский, вл 20/12, стр 4)	185.0	Субъект РФ - город Москва	Нет	эксплуатации здания под учебные цели
87	25495127	77:01:0003044:40	ул Мещанская    (г Москва, ул Мещанская, вл 13, стр 1)	2233.0	Субъект РФ - город Москва	Нет	эксплуатации здания и территории под учебно-воспитательные цели
88	25500822	77:08:0010007:26	ул Маршала Тухачевского    (г Москва, ул Маршала Тухачевского, вл 39, корпус 2)	5095.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
89	25501819	77:10:0004005:20	мкр 3-Й    (г Москва, 3-й микрорайон г Зеленограда, корпус 341А)	11378.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
90	25501426	77:09:0003003:43	проезд Новомихалковский 3-й    (г Москва , проезд Новомихалковский 3-й, д 3А)	57.75	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ поликлиники
91	25522385	77:05:0005009:141	ул Ереванская    (г Москва, ул Ереванская, вл 13 А)	9920.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
92	25499894	77:07:0002002:53	б-р Филевский    (г Москва, Филевский бульвар, вл 23, корпус 2)	9701.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
93	25501983	77:10:0002001:23	мкр 2-й    (г Москва, 2-й микрорайон г Зеленограда, у корпуса 225А)	3006.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ С ЦЕЛЬЮ ОКАЗАНИЯ МЕДИЦИНСКИХ УСЛУГ НАСЕЛЕНИЮ
94	25501867	77:10:0002007:14	мкр 8-й    (г Москва, 8-й микрорайон г Зеленограда, корпус 817)	8757.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
95	25501242	77:09:0003010:32	ул Михалковская    (г Москва, ул Михалковская, вл 3)	9783.0	Субъект РФ - город Москва	Нет	под образовательные цели
96	25501674	77:09:0003025:72	ш Дмитровское    (г Москва, ш Дмитровское, вл 52, корпус 2А, стр 1)	5227.0	Субъект РФ - город Москва	Нет	эксплуатации для осуществления образовательной деятельности
97	25501629	77:09:0004008:92	ул Красноармейская    (г Москва, ул Красноармейская, вл  30а)	2342.0	Субъект РФ - город Москва	Нет	эксплуатации здания детской поликлиники
98	25502004	77:10:0006003:28	мкр 15-Й    (г Москва, 15-й микрорайон г Зеленограда, корпус 1556)	10921.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
99	25501493	77:09:0003018:99	ул Зои и Александра Космодемьянских    (г Москва, ул Зои и Александра Космодемьянских, вл 4А)	10099.0	Субъект РФ - город Москва	Нет	ПОД ОБРАЗОВАТЕЛЬНЫЕ ЦЕЛИ
100	25500883	77:08:0010010:12	пр-кт Маршала Жукова    (г Москва, пр-кт Маршала Жукова, вл 53, корпус 2)	3854.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 182
101	25501255	77:09:0002018:35	ул Весенняя    (г Москва, ул Весенняя, вл 8А)	9252.0	Субъект РФ - город Москва	Нет	эксплуатации детских яслей-сада
102	25496131	77:02:0003004:43	ул Бегичева    (г Москва, ул Бегичева, вл 9)	4688.0	Субъект РФ - город Москва	Нет	эксплуатации здания дошкольного учреждения
103	25497606	77:03:0006025:75	ш Энтузиастов    (г Москва, ш Энтузиастов, вл 96 В, стр 1)	18088.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
104	25500475	77:08:0003007:36	ул Туристская    (г Москва, ул Туристская, вл 14, корпус 5)	9434.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 1858
105	25500472	77:08:0003007:16	ул Героев Панфиловцев    (г Москва, ул Героев Панфиловцев, вл 15)	20360.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОЙ ШКОЛЫ № 1286
