№ строки	Идентификатор	Кадастровый номер	Адрес	Площадь (кв.м)	Тип собственника	Аренда	Разрешение на использование
106	25499879	77:07:0007003:68	пр-кт КУТУЗОВСКИЙ    (г Москва, пр-кт Кутузовский, вл 5/3, корпус 3)	7285.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
107	25526465	77:09:0004010:1003	ул Юннатов    (г. Москва, ул. Юннатов, вл. 16А, стр. 3)	2152.0	Субъект РФ - город Москва	Нет	объекты размещения помещений гаражей боксового типа (1.2.3)
108	25526461	77:09:0003023:1002	ш Дмитровское    (г. Москва, Дмитровское шоссе, вл. 5А)	1671.3	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
109	25526349	77:08:0003007:1001	б-р Яна Райниса    (г. Москва, бульвар Яна Райниса, вл. 4)	8102.4400000000005	Субъект РФ - город Москва	Нет	эксплуатация здания поликлиники (земельные участки, предназначенные для размещения объектов здравоохранения)
110	25526510	77:09:0005005:1008	ул Зорге    (г. Москва, ул. Зорге, вл. 31, стр. 3)	65.36	Субъект РФ - город Москва	Да	земельные участки, предназначенные для размещения конструктивных элементов и сооружений, объектов, необходимых для эксплуатации, содержания, строительства, реконструкции, ремонта, развития на земных и подземных зданий, строений, сооружений, устройств эне
111	25526108	77:07:0001003:1004	(г. Москва, территория природно-исторического парка "Москворецкий", ЗАО г. Москвы)	6439.4800000000005	Субъект РФ - город Москва	Нет	природоохранные и эколого-просветительские цели
112	25526241	77:08:0001009:1005	ул Юровская    (г. Москва, ул. Юровская, вл. 116)	4578.4800000000005	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
113	25526433	77:07:0015005:1292	ул Шолохова    (г. Москва, ул. Шолохова вл. 19)	10914.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
114	25525933	77:05:0005011:1003	б-р Кавказский    (г. Москва, Кавказский бульвар, вл. 12, корп. 3)	12813.35	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
115	25525769	77:03:0003015:1004	ул Семеновская М.    (г. Москва, ул. Малая Семеновская, вл. 13, стр. 8)	55.0	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения электростанций, обслуживающих их сооружений и объектов (1.2.10)
116	25525907	77:07:0009004:1005	ул Давыдковская    (г. Москва, ул. Давыдковская, вл. 2, к. 6)	16686.14	Субъект РФ - город Москва	Нет	земельные участки предназначенные для размещения объектов образования (1.2.7)
117	25525677	77:04:0004025:1004	ул Братиславская    (г. Москва, ул. Братиславская, вл. 8, корп. 1)	11555.31	Субъект РФ - город Москва	Нет	эксплуатация здания школы (земельные участки, предназначенные для размещения объектов образования)
118	25525814	77:03:0003025:1010	ул Потешная    (г. Москва, ул. Потешная, вл. 4)	428.04	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения административных и офисных зданий (1.2.7)
119	25525284	77:02:0001003:1004	ул Псковская    (г. Москва, ул. Псковская, вл. 7, корп. 2)	8377.35	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов социального обеспечения (1.2.7)
120	25524872	77:01:0001057:1007	пер Власьевский М.    (г. Москва, переулок Малый Власьевский, вл. 6, стр. 2)	40.0	Субъект РФ - город Москва	Да	земельные участки, предназначенные для размещения электростанций, обслуживающих их сооружений и объектов (1.2.10)
121	25522912	77:06:0007005:134	ул Теплый Стан    (г Москва, ул Теплый Стан, вл 5А)	10334.0	Субъект РФ - город Москва	Нет	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
122	25522562	77:05:0012002:104	б-р Ореховый    (г Москва, б-р Ореховый, вл 63, корпус 2)	9098.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
123	25526231	77:07:0015003:1032	пр-кт Солнцевский    (г. Москва, Солнцевский просп., вл. 12А)	8605.28	Субъект РФ - город Москва	Нет	земельные участки, предназначенные для размещения объектов образования (1.2.7)
124	25526228	77:07:0015003:1017	ул Волынская    (г. Москва, ул. Волынская, вл. 8, к. 2)	6124.360000000001	Субъект РФ - город Москва	Нет	Земельные участки, предназначенные для размещения объектов образования (1.2.7)
125	25526077	77:05:0010009:1000	ул Загорьевская    (г. Москва, ул. Загорьевская, вл. 27, корп. 2)	5345.0	Субъект РФ - город Москва	Нет	эксплуатация существующих здания, строений и сооружений детского сада
126	25497126	77:03:0003019:64	проезд Окружной    (г. Москва, пр. Окружной, вл. 15А)	2300.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ КОМПЛЕКСА МАССОВОЙ ФИЗКУЛЬТУРЫ И СПОРТА
127	25498195	77:04:0004019:48	проезд Батайский    (г Москва, проезд Батайский, вл 39)	8876.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 1799
128	25497128	77:03:0003019:98	ул Ткацкая    (г Москва, ул Ткацкая, вл 47)	5021.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И БЛАГОУСТРОЙСТВА ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
129	25496966	77:03:0002003:31	ш ОТКРЫТОЕ    (г Москва, ш Открытое, вл 23)	10400.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
130	25495234	77:01:0004014:63	ул Красина    (г Москва, ул Красина, вл 27)	3477.0	Субъект РФ - город Москва	Нет	эксплуатации здания под образовательные цели
131	25496906	77:03:0002014:11	ул Амурская    (г Москва, ул Амурская, вл 62-а)	3209.0	Субъект РФ - город Москва	Нет	эксплуатации земельных участков поликлиник
132	25496905	77:02:0024004:10	ул Шереметьевская    (г Москва, ул Шереметьевская, вл 30, стр 1)	60.01	Субъект РФ - город Москва	Нет	эксплуатации здания мобилизационного назначения, состоящий из 5 обособл. участков: Р1-414 кв.м; Р2-37 кв.м; Р3-60 кв.м; Р4-91 кв.м; Р5- 86 кв.м
133	25495396	77:01:0004021:19	ул Большая Грузинская    (г Москва, ул Большая Грузинская, вл 13, стр 1)	2100.0	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
134	25496657	77:02:0022006:42	ул Аргуновская    (г Москва, ул Аргуновская, вл 16, корпус 3)	6315.0	Субъект РФ - город Москва	Нет	использования территории и эксплуатации здания дошкольного учреждения
135	25494685	77:01:0001099:57	пер Старопименовский    (г Москва, пер Старопименовский, вл 11/6, стр 2)	4400.0	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
136	25494782	77:01:0001093:18	пер Большой Каретный    (г Москва, пер Большой Каретный, вл 22, стр 5)	1475.0	Субъект РФ - город Москва	Нет	эксплуатации здания учебно-воспитательных целях и благоустройства территории без права коммерческого использования  и застройки
137	25494773	77:01:0002004:20	ул Большая Полянка    (г Москва, ул Большая Полянка, вл 45)	1105.0	Субъект РФ - город Москва	Нет	эксплуатации дворца культуры
138	25494802	77:01:0002005:54	ул Ордынка М.    (г Москва, ул Малая Ордынка, вл 35, стр 1)	600.0	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
139	25494489	77:01:0001068:31	ул Малая Бронная    (г Москва, ул Малая Бронная, вл 15, корпус 1)	5031.0	Субъект РФ - город Москва	Нет	эксплуатации здания под учебно-воспитательные цели
140	25494831	77:01:0002025:73	пер Рюмин    (г Москва, пер Рюмин, вл 2/10)	1108.6200000000001	Субъект РФ - город Москва	Нет	эксплуатации зданий историко-культурного назначения
141	25494827	77:01:0001094:22	пер Каретный Средний    (г Москва, пер Каретный Средний, вл 5, стр 1)	450.0	Субъект РФ - город Москва	Нет	эксплуатации административного здания и благоустройства территории
142	25494503	77:01:0001069:24	пер Вознесенский    (г Москва, пер Вознесенский, вл 21, стр 6)	400.0	Субъект РФ - город Москва	Да	ЭКСПЛУАТАЦИИ АДМИНИСТРАТИВНОГО ЗДАНИЯ
143	25494572	77:01:0001083:33	пер Гусятников    (г Москва, пер Гусятников, вл 7, стр 1)	470.0	Субъект РФ - город Москва	Нет	эксплуатации части административного здания.
144	25494569	77:01:0001082:98	пер Большой Харитоньевский    (г Москва, Большой Харитоньевский переулок, вл 24 А, стр 26)	669.0	Субъект РФ - город Москва	Нет	эксплуатации здания поликлиники
145	25496655	77:02:0022006:32	ул 3-я Новоостанкинская    (г Москва, ул 3-я Новоостанкинская, вл 17, стр 1)	5029.0	Субъект РФ - город Москва	Нет	эксплуатации здания дошкольного образовательного учреждения
146	25496344	77:02:0016005:31	ш Ярославское    (г Москва, ш Ярославское, вл 8)	13340.0	Субъект РФ - город Москва	Нет	эксплуатации здания детского сада
147	25495368	77:01:0004010:22	ул Долгоруковская    (г Москва, ул Долгоруковская, вл 13-15, стр 1)	3291.0	Субъект РФ - город Москва	Нет	эксплуатации здания в учебно-воспитательных целях и благоустройства территории без права коммерческого использования и застройки
148	25494541	77:01:0001071:15	пер Богословский    (г Москва, пер Богословский, вл 10, стр 1)	3885.0	Субъект РФ - город Москва	Нет	эксплуатации здания в учебно-воспитательных целях и благоустройства территории
149	25499099	77:05:0012003:82	ул БОРИСОВСКИЕ ПРУДЫ    (г Москва, ул Борисовские Пруды, вл 36, корпус 2)	19791.0	Субъект РФ - город Москва	Нет	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ И СООРУЖЕНИЙ ШКОЛЫ
